id,name
Skill_1,Cooking
Skill_2,Design
Skill_3,Drawing
Skill_4,Fishing
Skill_5,Magic Trick
Skill_6,Metal Working
Skill_7,Painting
Skill_8,Selling
Skill_9,Sewing
Skill_10,Soldering
Skill_11,Teaching
Skill_12,Wood Working
