id,sequence,name
Schoolstage_1,10,High School
Schoolstage_2,20,Vocational High School
Schoolstage_3,30,Junior High School
Schoolstage_4,40,Pesantren
Schoolstage_5,50,Elementary
Schoolstage_6,60,Kindergarten
