id,name
Dep_1,Accounting
Dep_2,After Sales Service
Dep_3,Customer Service
Dep_4,Design
Dep_5,Development
Dep_6,Finance
Dep_7,General
Dep_8,Human Resource
Dep_9,IT
Dep_10,Logistic
Dep_11,Marketing
Dep_12,Operational
Dep_13,Production
Dep_14,Project Management
Dep_15,Public Relation
Dep_16,Purchasing
Dep_17,Quality Control
Dep_18,Repair
Dep_19,Research
Dep_20,Warehouse
